"","DOY","stream","gTarPerFlow","DRPloadUS.gPwin_2.5per_s","DRPloadUS.gPwin.hf_2.5per_s","DRPloadDS.gPwin.wS_2.5per_s","DRPloadDS.gPwin.wS.hf_2.5per_s","Svol_gPwindow.hf_2.5per_s","DRPloadUS.gPwin_50per_s","DRPloadUS.gPwin.hf_50per_s","DRPloadDS.gPwin.wS_50per_s","DRPloadDS.gPwin.wS.hf_50per_s","Svol_gPwindow.hf_50per_s","DRPloadUS.gPwin_97.5per_s","DRPloadUS.gPwin.hf_97.5per_s","DRPloadDS.gPwin.wS_97.5per_s","DRPloadDS.gPwin.wS.hf_97.5per_s","Svol_gPwindow.hf_97.5per_s","SorbDistM_2.5per_m","Qm3m_2.5per_m","SorbDistM_50per_m","Qm3m_50per_m","SorbDistM_97.5per_m","Qm3m_97.5per_m","SorbDistPerWat","TribDist2wat_km","AtCapDist2Wat","perDRPsorbed","s75per","s50per","s25per","s10per"
"15",74,"STF","Gtarget",96810.59,96810.59,125895.6664,125895.6664,29085.074,96810.59,96810.59,134318.896250522,134318.896250522,37508.3017831577,96810.59,96810.59,152481.9108,152481.9108,55671.3267,4819.81280303101,1181.21936145833,22068.436899862,1181.21936145833,80561.7304141731,1181.21936145833,57.0015546741278,38.7155,16.647063100138,38.7440070173704,72607.9425,48405.295,24202.6475,9681.059
"16",74,"UTLC","Gtarget",3278.49246943742,3278.49246943742,3508.1432405666,3508.1432405666,229.650771129186,3278.49246943742,3278.49246943742,4204.40916871219,4204.40916871219,925.91669927477,3278.49246943742,3278.49246943742,5337.05449812481,5337.05449812481,2058.5620286874,4323.26023046589,29.8494931426515,26278.7349780764,29.8494931426515,114467.81,29.8494931426515,22.9573163615238,114.4678,88.1890650219237,28.2421481185728,2458.86935207806,1639.24623471871,819.623117359354,327.849246943742
"17",74,"WC","Gtarget",10982.6398940215,10982.6398940215,10982.6398940215,10982.6398940215,0,10982.6398940215,10982.6398940215,15280.4598151698,15280.4598151698,4297.81992114826,10982.6398940215,10982.6398940215,19071.8168748163,19071.8168748163,8089.17698079482,0,193.460677956215,16010.2732606628,193.460677956215,68846.8601998035,193.460677956215,28.240499219762,56.6926,40.6823267393372,39.1328493205701,8236.97992051615,5491.31994701076,2745.65997350538,1098.26398940215
"18",75,"STF","Gtarget",43576.4676,43576.4676,53117.4847,53117.4847,9541.01653,43576.4676,43576.4676,55959.1460949194,55959.1460949194,12382.6785425937,43576.4676,43576.4676,61974.6854,61974.6854,18398.2177,4464.13864251807,629.625023958333,20543.9131511571,629.625023958333,76006.3391818927,629.625023958333,53.0637939614807,38.7155,18.1715868488429,28.4159759259461,32682.3507,21788.2338,10894.1169,4357.64676
"19",75,"UTLC","Gtarget",1028.04850062601,1028.04850062601,1079.2704940698,1079.2704940698,51.2219934437901,1028.04850062601,1028.04850062601,1232.60247445444,1232.60247445444,204.553973828438,1028.04850062601,1028.04850062601,1490.7111215811,1490.7111215811,462.662620955093,3728.72682739306,13.9143661826657,21654.1054302352,13.9143661826657,114145.359751411,13.9143661826657,18.9172024187022,114.4678,92.8136945697648,19.8973077343996,771.036375469504,514.024250313003,257.012125156501,102.804850062601
"20",75,"WC","Gtarget",3594.19921538186,3594.19921538186,3594.19921538186,3594.19921538186,0,3594.19921538186,3594.19921538186,4587.74193315863,4587.74193315863,993.542717776768,3594.19921538186,3594.19921538186,5564.28028575955,5564.28028575955,1970.08107037769,0,81.1950104588263,13543.8326183097,81.1950104588263,63198.8360406869,81.1950104588263,23.8899479267306,56.6926,43.1487673816903,27.6429507169432,2695.6494115364,1797.09960769093,898.549803845466,359.419921538186
"21",76,"STF","Gtarget",23016.2383,23016.2383,25764.2906,25764.2906,2748.0515,23016.2383,23016.2383,27823.923914524,27823.923914524,4807.68513037671,23016.2383,23016.2383,30151.7725,30151.7725,7135.53345,4008.08805769433,381.233210416667,18366.5339095333,381.233210416667,69957.4100187304,381.233210416667,47.4397435382039,38.7155,20.3489660904667,20.8882314638561,17262.178725,11508.11915,5754.059575,2301.62383
"22",76,"UTLC","Gtarget",467.120193653968,467.120193653968,476.943485844624,476.943485844624,9.82329219065551,467.120193653968,467.120193653968,543.858944987667,543.858944987667,76.7387513336984,467.120193653968,467.120193653968,669.388422317812,669.388422317812,202.268228663844,1212.15541641283,8.52443191455563,15901.2945170843,8.52443191455563,106149.424899034,8.52443191455563,13.8915000699623,114.4678,98.5665054829157,16.4280526460273,350.340145240476,233.560096826984,116.780048413492,46.7120193653968
"23",76,"WC","Gtarget",2042.20191141551,2042.20191141551,2042.20191141551,2042.20191141551,0,2042.20191141551,2042.20191141551,2488.53852274873,2488.53852274873,446.336611333222,2042.20191141551,2042.20191141551,3003.67061556696,3003.67061556696,961.468704151445,0,52.0906042729551,11005.0706840315,52.0906042729551,56414.0768999238,52.0906042729551,19.4118292052782,56.6926,45.6875293159685,21.8556553511329,1531.65143356163,1021.10095570776,510.550477853878,204.220191141551
"24",77,"STF","Gtarget",11661.4065,11661.4065,11841.0903,11841.0903,179.684891806,11661.4065,11661.4065,13546.521882502,13546.521882502,1885.11648563516,11661.4065,11661.4065,14469.2274,14469.2274,2807.82087,1023.25664049937,250.798534939759,15771.746907574,250.798534939759,63882.6572874212,250.798534939759,40.7375519044672,38.7155,22.943753092426,16.1654298358878,8746.054875,5830.70325,2915.351625,1166.14065
"25",77,"UTLC","Gtarget",338.35901582435,338.35901582435,340.856553245402,340.856553245402,2.49753742105208,338.35901582435,338.35901582435,387.371530675656,387.371530675656,49.0125148513055,338.35901582435,338.35901582435,479.735588397911,479.735588397911,141.376572573561,329.205185127426,6.93143246135387,13382.4845971307,6.93143246135387,99746.5512391038,6.93143246135387,11.6910472614401,114.4678,101.085315402869,14.4853580247878,253.769261868263,169.179507912175,84.5897539560875,33.835901582435
"26",77,"WC","Gtarget",946.042733135389,946.042733135389,946.042733135389,946.042733135389,0,946.042733135389,946.042733135389,1105.0808452976,1105.0808452976,159.038112162215,946.042733135389,946.042733135389,1335.83063462263,1335.83063462263,389.787901487244,0,36.1578179394202,8941.45238831176,36.1578179394202,51580.4718474236,36.1578179394202,15.7718157013645,56.6926,47.7511476116882,16.8108803748356,709.532049851542,473.021366567695,236.510683283847,94.604273313539
"27",78,"UTLC","Gtarget",232.761014471802,232.761014471802,232.761014471802,232.761014471802,0,232.761014471802,232.761014471802,258.838517137907,258.838517137907,26.0775026661048,232.761014471802,232.761014471802,321.71077558559,321.71077558559,88.9497611137873,0,5.49665337379621,11205.5449537479,5.49665337379621,93892.021083159,5.49665337379621,9.7892551038352,114.4678,103.262255046252,11.2035525903175,174.570760853852,116.380507235901,58.1902536179505,23.2761014471802
"28",79,"UTLC","Gtarget",195.709517214152,195.709517214152,195.709517214152,195.709517214152,0,195.709517214152,195.709517214152,215.49650259083,215.49650259083,19.7869853766768,195.709517214152,195.709517214152,266.607690850676,266.607690850676,70.8981736365233,0,4.92713084958744,9631.36760717789,4.92713084958744,89520.1187326752,4.92713084958744,8.41404098548053,114.4678,104.836432392822,10.1103848491053,146.782137910614,97.8547586070762,48.9273793035381,19.5709517214152
"29",80,"STF","Gtarget",5281.6424,5281.6424,5467.7337,5467.7337,186.0910291,5281.6424,5281.6424,6176.94496787432,6176.94496787432,895.302755,5281.6424,5281.6424,6614.2914,6614.2914,1332.649,1851.60048301463,271.192082352941,15172.3584678399,271.192082352941,61860.9533602941,271.192082352941,39.1893646416549,38.7155,23.5431415321601,16.9512187156026,3961.2318,2640.8212,1320.4106,528.16424
"30",80,"UTLC","Gtarget",421.847774852112,421.847774852112,427.830772908105,427.830772908105,5.98299805599334,421.847774852112,421.847774852112,489.294130377732,489.294130377732,67.4463555256206,421.847774852112,421.847774852112,603.111558459625,603.111558459625,181.263783607513,777.851153235833,7.99526089299433,14842.2886304618,7.99526089299433,104057.290463267,7.99526089299433,12.9663439241969,114.4678,99.6255113695382,15.988316057674,316.385831139084,210.923887426056,105.461943713028,42.1847774852112
"31",80,"WC","Gtarget",1255.10105183099,1255.10105183099,1255.10105183099,1255.10105183099,0,1255.10105183099,1255.10105183099,1544.68669772437,1544.68669772437,289.585645893381,1255.10105183099,1255.10105183099,1861.25011839232,1861.25011839232,606.149066561328,0,55.7369878674594,10490.6706061694,55.7369878674594,53183.3525198753,55.7369878674594,18.5044796078667,56.6926,46.2019293938306,23.0726956583234,941.325788873243,627.550525915495,313.775262957748,125.510105183099
"32",81,"STF","Gtarget",18474.1525,18474.1525,19877.3388,19877.3388,1403.185226,18474.1525,18474.1525,21922.5362108668,21922.5362108668,3448.38277505044,18474.1525,18474.1525,23596.5702,23596.5702,5122.41642,3233.68024394856,321.095310416667,16031.3729562268,321.095310416667,63869.5757178259,321.095310416667,41.4081516607737,38.7155,22.6841270437731,18.6659863019451,13855.614375,9237.07625,4618.538125,1847.41525
"33",81,"UTLC","Gtarget",252.343823491023,252.343823491023,252.343823491023,252.343823491023,0,252.343823491023,252.343823491023,283.845359080112,283.845359080112,31.5015355890885,252.343823491023,252.343823491023,351.855601926703,351.855601926703,99.5117784356801,0,5.77008789831534,11576.5371857697,5.77008789831534,95200.5185213751,5.77008789831534,10.1133569316172,114.4678,102.89126281423,12.4835770312441,189.257867618267,126.171911745511,63.0859558727557,25.2343823491023
"34",81,"WC","Gtarget",1961.14388253493,1961.14388253493,1961.14388253493,1961.14388253493,0,1961.14388253493,1961.14388253493,2380.18607512839,2380.18607512839,419.042192593468,1961.14388253493,1961.14388253493,2874.8534639343,2874.8534639343,913.709581399375,0,50.4340689011111,10135.7061548638,50.4340689011111,52872.9922484277,50.4340689011111,17.8783582951986,56.6926,46.5568938451362,21.367233497005,1470.85791190119,980.571941267463,490.285970633731,196.114388253493
"35",82,"STF","Gtarget",2757.6716,2757.6716,2766.0293,2766.0293,8.357757703,2757.6716,2757.6716,3186.3918,3186.3918,428.72045,2757.6716,2757.6716,3401.4517,3401.4517,643.77994,212.738909047619,237.94239047619,15451.1139685436,237.94239047619,62195.0140714286,237.94239047619,39.9093747169574,38.7155,23.2643860314564,15.5464649960496,2068.2537,1378.8358,689.4179,275.76716
"36",82,"UTLC","Gtarget",78.5561897742124,78.5561897742124,78.5561897742124,78.5561897742124,0,78.5561897742124,78.5561897742124,86.0656677641093,86.0656677641093,7.5094779898969,78.5561897742124,78.5561897742124,104.880261414773,104.880261414773,26.3240716405603,0,4.22810933004006,8560.35108769205,4.22810933004006,82650.6273056745,4.22810933004006,7.47839225327301,114.4678,105.907448912308,9.55937146580145,58.9171423306593,39.2780948871062,19.6390474435531,7.85561897742124
"37",82,"WC","Gtarget",145.5287618533,145.5287618533,145.5287618533,145.5287618533,0,145.5287618533,145.5287618533,170.346356166253,170.346356166253,24.8175943129536,145.5287618533,145.5287618533,205.490204575835,205.490204575835,59.9614427225349,0,35.9572433161115,8737.84560372108,35.9572433161115,49541.3129323928,35.9572433161115,15.4126739710669,56.6926,47.9547543962789,17.0533948045067,109.146571389975,72.7643809266499,36.382190463325,14.55287618533
"38",89,"STF","Gtarget",19902.0853402551,19902.0853402551,24384.0128564393,24384.0128564393,4481.92662418422,19902.0853402551,19902.0853402551,25925.9782353781,25925.9782353781,6023.89219314829,19902.0853402551,19902.0853402551,28812.5105056747,28812.5105056747,8910.42477541956,4235.86396871727,613.690362275502,20526.7219121989,613.690362275502,76634.5012412376,613.690362275502,53.0193899399436,38.7155,18.1887780878011,30.2676432653216,14926.5640051913,9951.04267012755,4975.52133506378,1990.20853402551
"39",89,"UTLC","Gtarget",10354.4769312342,10354.4769312342,11732.9826369174,11732.9826369174,1378.50570568317,10354.4769312342,10354.4769312342,15794.5531357214,15794.5531357214,5440.07620448718,10354.4769312342,10354.4769312342,19486.1041900245,19486.1041900245,9131.62725879027,4868.32024799817,93.3202023946064,28149.405051427,93.3202023946064,113530.346136517,93.3202023946064,24.5915489346585,114.4678,86.318394948573,52.5383970683947,7765.85769842568,5177.23846561712,2588.61923280856,1035.44769312342
"40",89,"WC","Gtarget",3381.70148180736,3381.70148180736,3383.71681034372,3383.71681034372,2.01532853636068,3381.70148180736,3381.70148180736,4664.10908680268,4664.10908680268,1282.40760499532,3381.70148180736,3381.70148180736,5817.84705256888,5817.84705256888,2436.14557076152,6.6053044977047,134.986395172318,15004.6522090366,134.986395172318,67027.5537287677,134.986395172318,26.4666856151184,56.6926,41.6879477909634,37.9219636001086,2536.27611135552,1690.85074090368,845.425370451841,338.170148180736
