"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorb_MjHf_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorb_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorb_MjHf_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorb_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorb_MjHf_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorb_97.5per","perSorbP_97.5per","Yn","Yg"
"22",1999,1945541160,330165647291,86100687.25,0.006403085408525,42619493.26125,33793552.784,128720178.825,119894236.9775,0.392488769408748,0.494995970676761,1945541160,330165647291,86100687.25,0.007990538765,57173315.77,41611283.545,143273998.5,127711965.9,0.483286311341261,0.664028564650046,1945541160,330165647291,86100687.25,0.0097645897905,72480415.08925,49133781.55325,158581098.7925,135234465.665,0.570654928811268,0.841809948378199,1999,"L2003"
"23",2000,1808753130,499967269160,127943230.05,0.007197958775875,60516164.0925,49752278.620475,188459396.815,177695508.94625,0.388862143006956,0.472992311268446,1808753130,499967269160,127943230.05,0.009013872635,84784232.85,61917294.39,212727463.175,189860524.5,0.483943498736141,0.662670723701961,1808753130,499967269160,127943230.05,0.01091794559075,123594484.451175,74268967.737025,251537716.3725,202212198.61625,0.580483763838077,0.96601035008163,2000,"L2003"
"24",2001,1399514478,228819931359,94535203.18,0.006520566635125,29157057.2035,27245913.680525,123692260.5375,121781116.157,0.288209183076989,0.308425393109733,1399514478,228819931359,94535203.18,0.0082410572615,40090585.075,35862332.4845,134625785.5,130397535.38,0.379354264635326,0.424081016662813,1399514478,228819931359,94535203.18,0.01002482155625,52461928.5305,44212981.33625,146997127.8125,138748183.608,0.467688013025858,0.554945954160692,2001,"L2003"
"25",2002,2186553293,490112266004,146635113.7,0.00707356166375,63072450.358,56865341.62675,209707565.3025,203500455.3875,0.387801667635288,0.430131970211716,2186553293,490112266004,146635113.7,0.00886261996268858,84081915.245,71324327.585,230717030.3,217959441.75,0.486406876124651,0.573409145486277,2186553293,490112266004,146635113.7,0.0108283843097084,112844117.69625,86302234.00125,259479228.8925,232937349.2175,0.588550939973459,0.769557269393995,2002,"L2003"
"26",2003,2688957534,628570776398,285387165.32,0.00737013866675,78139417.096,74226045.1995,363526580.3175,359613211.06,0.260088939585883,0.273801440959629,2688957534,628570776398,285387165.32,0.0091574362635,109522929.01,98879677.565,394910093.25,384266845.24,0.346475558752363,0.383769637598081,2688957534,628570776398,285387165.32,0.011211826447325,146376825.3015,123486112.17125,431763989.3,408873276.0355,0.432696796412645,0.512906125744548,2003,"G2003"
"27",2004,2049153621,506705433109,185469619.75,0.0063908454081,62077941.57865,56128456.50175,247547566.125,241598078.9025,0.302628843351311,0.334706792747657,2049153621,506705433109,185469619.75,0.007881044917,86874034.84,72423425.659,272343658.65,257893048.95,0.390486731771067,0.468400350187271,2049153621,506705433109,185469619.75,0.009886222472375,120547649.04,92259518.37425,306017271.1075,277729142.8625,0.497437361971245,0.649959002463529,2004,"G2003"
"28",2005,534674569,78788308018,63274465.46,0.00157428232475,7198257.213,6385611.09625,70472721.7475,69660077.57675,0.100919242064349,0.11376243419315,534674569,78788308018,63274465.46,0.00239079153,12981735.265,11999720.28,76256201.19,75274184.945,0.189645541732562,0.205165467153675,534674569,78788308018,63274465.46,0.00352783551575,22299534.478,20052633.374,85573999.5615,83327097.6825,0.316915097238974,0.352425489743521,2005,"G2003"
"29",2006,1209464508,208783644639,89885594.11,0.00450814103975,25779716.97,23456424.77225,115665311.3125,113342018.55625,0.260958666452653,0.286805880578053,1209464508,208783644639,89885594.11,0.00586065695285,35974209.595,31076954.79,125859804.63,120962551.51,0.34573899296887,0.400222193013216,1209464508,208783644639,89885594.11,0.0077047933525,49520120.3965,40456794.088,139405713.5575,130342390.92875,0.450092080812081,0.550923881483148,2006,"G2003"
"30",2007,2049006827,397433398141,239565923,0.006768296228,49770801.9575,48773294.19325,289336725.125,288339216.775,0.203590283553183,0.207754096802407,2049006827,397433398141,239565923,0.00837410477,68200058.835,65731217.075,307765981.5,305297141.5,0.274376323025708,0.284681802741202,2049006827,397433398141,239565923,0.01036784324775,91476558.016,85119783.19925,331042478.9,324685707.7,0.355308393336268,0.381842946903596,2007,"G2003"
"31",2008,2936648821,523966063687,240900737.73,0.010499988889825,73159738.65875,67870242.27125,314060478.27925,308770976.92,0.281735302725883,0.303692464158192,2936648821,523966063687,240900737.73,0.012560118157,90599866.36,81384993,331500603.25,322285731.32,0.337836213234082,0.376087957279499,2936648821,523966063687,240900737.73,0.0147122835104005,113818799.8855,97574485.509,354719534.065,338475222.63,0.405040210455316,0.472471778036095,2008,"G2003"
