"","Y","Qm3window","gDRPwindow","gSSwindow","gTPwindow","Qm3e6_MjHf","mtDRP_MjHf","mtSS_MjHf","mtTP_MjHf","L10.Qm3e6_MjHf","L10.mtDRP_MjHf","L10.mtSS_MjHf","L10.mtTP_MjHf","Yn2","mtSSAt500Qm3e6pred","mtSSAt1000Qm3e6pred","mtSSAt2000Qm3e6pred","mtSSAt3000Qm3e6pred","mtSSAt4000Qm3e6pred"
"31",2008,2936648820.44771,240900735.004745,523966063685.378,1223956654.78964,2936.64882044771,240.900735004745,523966.063685378,1223.95665478964,3.46785201446266,2.38183812506276,5.71930315944278,3.08776603797376,"08",113514.506974195,213988.886207189,414937.64467318,615886.403139152,816835.161605157
"32",2009,2634863754.92111,169255197.751303,592641065917.652,1216635399.88663,2634.86375492111,169.255197751303,592641.065917652,1216.63539988663,3.42075816337561,2.22854201455097,5.77279174178376,3.08516044877967,"09",114401.379773412,212047.423284961,407339.510308057,602631.597331151,797923.684354253
"33",2010,3178248133.14127,284630609.857037,489069162615.311,1195510229.33104,3178.24813314127,284.630609857037,489069.162615311,1195.51022933104,3.50218780056402,2.45428160332788,5.68937028001977,3.07755329648945,"10",115288.25257263,210105.960362734,399741.375942945,589376.791523151,779012.207103357
"34",2011,4599268009.58355,414105503.217386,969999352474.795,2251885914.62808,4599.26800958355,414.105503217386,969999.352474795,2251.88591462808,3.6626887176175,2.61711100205771,5.9867714443521,3.35254638444639,"11",116175.125371846,208164.497440506,392143.241577823,576121.985715143,760100.72985246
"35",2012,549060432.958881,44061759.0221023,167411157537.71,317326982.943577,549.060432958881,44.0617590221024,167411.15753771,317.326982943577,2.73962014819532,1.64406183095237,5.22378439927002,2.50150700259288,"12",117061.998171064,206223.034518279,384545.107212711,562867.179907128,741189.252601571
"36",2013,2207838498.84481,208383753.03592,426112864102.902,990026278.576297,2207.83849884481,208.38375303592,426112.864102902,990.026278576297,3.34396730201651,2.31886385550126,5.62952464549962,2.99564672236443,"13",117948.870970282,204281.571596052,376946.972847592,549612.374099128,722277.775350675
"37",2014,2819311068.17648,275972894.836013,409719862572.411,1064458615.18682,2819.31106817648,275.972894836013,409719.862572411,1064.45861518682,3.45014299631836,2.44086642916226,5.61248701837467,3.02712878127891,"14",118835.743769499,202340.108673824,369348.838482477,536357.568291128,703366.298099771
"38",2015,3611389827.51361,392619561.804816,629950774997.251,1573694592.86367,3611.38982751361,392.619561804816,629950.774997251,1573.69459286367,3.55767437039866,2.59397193401142,5.79930661456104,3.19692045260779,"15",119722.616568716,200398.645751597,361750.704117358,523102.762483113,684454.820848882
"39",2016,1965431816.29617,119749723.116614,286518599699.757,683190336.36727,1965.43181629617,119.749723116614,286518.599699757,683.19033636727,3.29345798210678,2.07827451791904,5.45715281996755,2.83454171468907,"16",120609.489367934,198457.182829371,354152.569752246,509847.956675105,665543.343597993
"40",2017,2628576056.35278,261089908.184122,559200468358.676,1301785875.00037,2628.57605635278,261.089908184122,559200.468358676,1301.78587500037,3.41972054760001,2.41679008551635,5.74756752648137,3.1145395549285,"17",121496.362167151,196515.719907142,346554.435387123,496593.150867105,646631.866347089
"41",2018,2370609154.77902,179446324.257501,316600410957.549,937770055.795158,2370.60915477902,179.446324257501,316600.410957549,937.770055795158,3.37485995721954,2.25393456675935,5.50051147425495,2.97209636104246,"18",122383.234966368,194574.256984916,338956.301022012,483338.345059104,627720.389096193
"42",2019,4454920065.79702,322938571.122203,801530807903.665,1982822962.26769,4454.92006579702,322.938571122203,801530.807903665,1982.82296226769,3.64883991593861,2.50911991935946,5.90392021969755,3.2972839396503,"19",123270.107765586,192632.794062689,331358.166656893,470083.539251089,608808.911845304
