"","DOY","stream","gTarPerFlow","DRPloadUS.gPwin_2.5per_s","DRPloadUS.gPwin.hf_2.5per_s","DRPloadDS.gPwin.wS_2.5per_s","DRPloadDS.gPwin.wS.hf_2.5per_s","Svol_gPwindow.hf_2.5per_s","DRPloadUS.gPwin_50per_s","DRPloadUS.gPwin.hf_50per_s","DRPloadDS.gPwin.wS_50per_s","DRPloadDS.gPwin.wS.hf_50per_s","Svol_gPwindow.hf_50per_s","DRPloadUS.gPwin_97.5per_s","DRPloadUS.gPwin.hf_97.5per_s","DRPloadDS.gPwin.wS_97.5per_s","DRPloadDS.gPwin.wS.hf_97.5per_s","Svol_gPwindow.hf_97.5per_s","SorbDistM_2.5per_m","Qm3m_2.5per_m","SorbDistM_50per_m","Qm3m_50per_m","SorbDistM_97.5per_m","Qm3m_97.5per_m","SorbDistPerWat","TribDist2wat_km","AtCapDist2Wat","perDRPsorbed","s75per","s50per","s25per","s10per"
"11",72,"UTLC","Gtarget",181.03265966426,181.03265966426,181.03265966426,181.03265966426,0,181.03265966426,181.03265966426,182.255832290046,182.255832290046,1.22317262578584,181.03265966426,181.03265966426,281.649773126114,281.649773126114,100.617113461854,0,7.26309349627223,247.261933426273,7.26309349627223,93653.7591344459,7.26309349627223,0.216010033761698,114.4678,114.220538066574,0.675664064182849,135.774494748195,90.51632983213,45.258164916065,18.103265966426
"12",73,"STF","Gtarget",16528.66549,16528.66549,16528.66549,16528.66549,0,16528.66549,16528.66549,18238.61249,18238.61249,1709.9469583,16528.66549,16528.66549,28022.64461275,28022.64461275,11493.979303,0,566.76872,3135.645365,566.76872,87183.788846875,566.76872,8.09919893840968,38.7155,35.579854635,10.3453419112059,12396.4991175,8264.332745,4132.1663725,1652.866549
"13",73,"UTLC","Gtarget",3025.1613265979,3025.1613265979,3611.71583515213,3611.71583515213,586.554508554232,3025.1613265979,3025.1613265979,4569.33379108374,4569.33379108374,1544.17246448584,3025.1613265979,3025.1613265979,5615.5123095933,5615.5123095933,2590.35098299541,1573.08177862002,47.7616667520891,14432.3048209952,47.7616667520891,111224.786647659,47.7616667520891,12.6081787375971,114.4678,100.035495179005,51.0443013702814,2268.87099494843,1512.58066329895,756.290331649475,302.51613265979
"14",73,"WC","Gtarget",2862.218057,2862.218057,2862.218057,2862.218057,0,2862.218057,2862.218057,3053.797192,3053.797192,191.5791454,2862.218057,2862.218057,5555.88599175,5555.88599175,2693.66806575,0,122.982077261905,948.624518452381,122.982077261905,63624.6947797619,122.982077261905,1.67327749733189,56.6926,55.7439754815476,6.69338050367837,2146.66354275,1431.1090285,715.55451425,286.2218057
"15",74,"STF","Gtarget",48405.2948,48405.2948,48405.2948,48405.2948,0,48405.2948,48405.2948,58463.7162,58463.7162,10058.42122,48405.2948,48405.2948,86368.6298825,86368.6298825,37963.3380775,0,1181.21936145833,9434.15594791667,1181.21936145833,92436.75134375,1181.21936145833,24.3679041931957,38.7155,29.2813440520833,20.7795888064708,36303.9711,24202.6474,12101.3237,4840.52948
"16",74,"UTLC","Gtarget",1639.24623471871,1639.24623471871,1756.24567646417,1756.24567646417,116.999441745458,1639.24623471871,1639.24623471871,2201.65671135849,2201.65671135849,562.410476639787,1639.24623471871,1639.24623471871,2925.51745480091,2925.51745480091,1286.2712200822,1061.58120619206,29.8494931426515,21011.7582033819,29.8494931426515,114373.710646294,29.8494931426515,18.3560426629864,114.4678,93.4560417966181,34.3090906495994,1229.43467603903,819.623117359354,409.811558679677,163.924623471871
"17",74,"WC","Gtarget",5491.3197,5491.3197,5491.3197,5491.3197,0,5491.3197,5491.3197,5978.47049,5978.47049,487.15055213,5491.3197,5491.3197,10755.22798,10755.22798,5263.90795,0,193.460670833333,2047.71246208333,193.460670833333,66029.9703046874,193.460670833333,3.61195722560499,56.6926,54.6448875379167,8.87128374860418,4118.489775,2745.65985,1372.829925,549.13197
"18",75,"STF","Gtarget",21788.2342,21788.2342,21788.2342,21788.2342,0,21788.2342,21788.2342,23190.3279,23190.3279,1402.093105,21788.2342,21788.2342,37111.7588425,37111.7588425,15323.52497625,0,629.625023958333,3538.49690322917,629.625023958333,92517.5520989583,629.625023958333,9.13974223044818,38.7155,35.1770030967708,6.43509286769095,16341.17565,10894.1171,5447.05855,2178.82342
"19",75,"UTLC","Gtarget",514.024250313003,514.024250313003,514.024250313003,514.024250313003,0,514.024250313003,514.024250313003,609.287132835231,609.287132835231,95.2628825222282,514.024250313003,514.024250313003,837.311122602937,837.311122602937,323.286872289934,0,13.9143661826657,11679.5571452383,13.9143661826657,110676.531788231,13.9143661826657,10.2033560051283,114.4678,102.788242854762,18.5327603637805,385.518187734752,257.012125156501,128.506062578251,51.4024250313003
"20",75,"WC","Gtarget",1797.09965,1797.09965,1797.09965,1797.09965,0,1797.09965,1797.09965,1799.67739,1799.67739,2.577742,1797.09965,1797.09965,3462.05053475,3462.05053475,1664.95095425,0,81.1950105208333,40.0706458333333,81.1950105208333,65113.3790781249,81.1950105208333,0.0706805576624345,56.6926,56.6525293541667,0.143439012967367,1347.8247375,898.549825,449.2749125,179.709965
