"","Stream","SampleDate","Percentile_flow","percentPP","percentOM","Sms_gPgDMmin","Svol_gPm3Min","NAP_gPgDM","Scap_gPgDM","Smax_gPgDM","AmbP_gPm3","EPC_gPm3","SS_gDMm3","PP_gPm3","Q_m3min"
"49","STF",2019-05-10,96.6,0.061337717,21.27378624,7.55541984666667e-07,0.000340792779017243,1.538e-05,0.00016347,0.00017885,0.144,0.01476,451.057368,0.5833450904,1541.00264847442
"50","WC",2019-05-10,90.1,0.041186548,20.90035205,6.91192007333333e-07,0.000126239209378903,5.73e-06,0.00025993,0.00026566,0.08534,0.00274,182.639857,0.2541870524,101.940638267326
"51","PR",2019-05-10,62.5,0.092169415,31.61900628,4.02191838833333e-07,1.69396691030729e-05,6.124e-05,0.00040209,0.00046333,0.04464,0.01023,42.118381,0.08888757569,11.808123932632
"52","LFR",2019-05-20,75.8,0.046378075,17.02089279,6.196653825e-07,0.000200116553624455,3.033e-05,0.0001961,0.00022643,0.22331,0.0245,322.942929,0.390193532,60.3148776415014
"53","PC",2019-05-20,68.5,0.050080341,28.02120556,4.85341905833333e-07,5.46419447354109e-05,1.943e-05,0.00021052,0.00022995,0.13645,0.02188,112.584436,0.1527137336,37.2083329675741
"54","UTLC",2019-05-20,88,0.060159624,38.35709914,1.84645393166667e-06,5.91296091229209e-05,9.394e-05,0.00046247,0.00055641,0.08928,0.00919,32.023333,0.0711639171,10.2620242522442
"55","STF",2019-05-20,97.6,0.045122631,16.49043066,3.97004607833333e-07,0.000184930190849958,1.622e-05,0.00014154,0.00015776,0.14637,0.01387,465.813714,0.5945778866,1834.93148881187
"56","WC",2019-05-20,95.6,0.045788946,21.35463763,8.13604814833333e-07,0.000238855389793922,1.246e-05,0.00018835,0.00020081,0.15784,0.01106,293.576667,0.3908678636,225.968414825907
"57","PR",2019-05-20,90.1,0.051631723,20.71854839,1.46303731633333e-06,0.000480687644642084,4.426e-05,0.00014628,0.00019054,0.2563,0.04352,328.554603,0.4970870679,68.3002276391086
"58","LFR",2019-06-20,96.7,0.029155713,14.03420745,4.87424534333333e-07,0.00027262583577623,4.706e-05,0.00011119,0.00015825,0.11737,0.01829,559.319067,0.4892497585,355.093223297853
"59","PC",2019-06-20,96.6,0.037452844,16.1685284,3.42878108666667e-07,0.00016337052451352,3.6e-05,0.00014993,0.00018593,0.15299,0.03317,476.468227,0.5120504424,457.03386156518
"60","UTLC",2019-06-20,98.2,0.049382568,26.69111642,1.59537754066667e-07,9.6115115315004e-06,0.00011318,0.00026383,0.00037701,0.09549,0.01892,60.246,0.1045184147,68.8099308304453
"61","STF",2019-06-20,95.6,0.050390638,18.94179211,2.30819149166667e-07,6.39028584946646e-05,4.672e-05,0.00013777,0.00018449,0.08165,0.02372,276.8525,0.3720206392,1374.49960597112
"62","WC",2019-06-20,97,0.041310036,19.21158168,3.01816372833333e-07,8.15914093287992e-05,4.354e-05,0.0001922,0.00023574,0.09714,0.02432,270.334603,0.3597471689,297.326861613035
"63","PR",2019-06-20,98.6,0.044180813,13.4062811,9.33921860666667e-07,0.000577513782096174,3.738e-05,0.00048677,0.00052415,0.20275,0.03826,618.374841,0.6770844033,497.81011687211
"64","LFR",2019-06-30,1.5,0.049878046,25.32945162,1.19347085666667e-08,6.72636379580009e-07,4.189e-05,0.00059291,0.0006348,0.01552,0.00704,56.359682,0.0774396561,1.13833712731848
"65","STF",2019-06-30,36,0.061320762,95.20095315,2.50712253333333e-09,2.24710183545824e-08,5.329e-05,0.00043235,0.00048564,0.02358,0.013,8.962872,0.01546101223,25.6550606306104
"66","WC",2019-06-30,38,0.057776568,34.55790762,5.33355821333333e-08,1.76322079640354e-06,0.00018662,0.00022308,0.0004097,0.04892,0.01864,33.058996,0.05346104007,3.78879372226896
"67","PR",2019-06-30,41.5,0.096900417,75.59811781,2.72406129333333e-07,3.36465835722683e-06,0.00017504,0.00041139,0.00058643,0.06133,0.02213,12.351625,0.03423815375,2.75239723321781
