"","Y","Qm3_MjHf_2.5per","gSS_MjHf_2.5per","gDRP_MjHf_2.5per","gPsorbedgDM_2.5per","gPsorbP_MjHf_2.5per","gPsorbWindow_2.5per","gDRPwoSorp_MjHf_2.5per","gDRPwindowWOsorp_2.5per","perSorbP_2.5per","Qm3_MjHf_50per","gSS_MjHf_50per","gDRP_MjHf_50per","gPsorbedgDM_50per","gPsorbP_MjHf_50per","gPsorbWindow_50per","gDRPwoSorp_MjHf_50per","gDRPwindowWOsorp_50per","perSorbP_50per","Qm3_MjHf_97.5per","gSS_MjHf_97.5per","gDRP_MjHf_97.5per","gPsorbedgDM_97.5per","gPsorbP_MjHf_97.5per","gPsorbWindow_97.5per","gDRPwoSorp_MjHf_97.5per","gDRPwindowWOsorp_97.5per","perSorbP_97.5per","Yn"
"11","1988",684771965.871407,172094694451.854,25372750.8453274,0.000741493817843979,4801212.05354848,4247148.34535527,30173962.8988759,29619899.1906827,0.189227099687248,684771965.871407,172094694451.854,25372750.8453274,0.00156996641941358,11734140.5664809,8644536.36381366,37106891.4118083,34017287.2091411,0.462470176687279,684771965.871407,172094694451.854,25372750.8453274,0.00249831204414769,21872212.6182299,13896669.4962041,47244963.4635573,39269420.3415315,0.862035525890084,1988
"12","1989",1563361628.46772,855250672906.614,82900412.9601098,0.0012074327148875,28178637.1218482,15662961.9653915,111079050.081958,98563374.9255013,0.339909490383447,1563361628.46772,855250672906.614,82900412.9601098,0.00219568140321221,59378545.9771777,32024512.4016619,142278958.937287,114924925.361772,0.716263572845525,1563361628.46772,855250672906.614,82900412.9601098,0.00349690783644154,103823603.856512,50520162.3658376,186724016.816622,133420575.325947,1.25238946525478,1989
"13","1990",1620464696.39954,516967475497.421,104157957.899861,0.00257944947630467,18548472.5439298,14286373.8348726,122706430.443791,118444331.734734,0.17808022466956,1620464696.39954,516967475497.421,104157957.899861,0.00387038791132553,37220347.6701059,28778067.5003333,141378305.569967,132936025.400195,0.35734521317987,1620464696.39954,516967475497.421,104157957.899861,0.00536878512871629,64073925.162466,43213027.0593923,168231883.062327,147370984.959254,0.615161111588491,1990
"14","1991",1007891168.17459,392344568779.349,65650947.9509507,0.000853331724709791,8613548.0626873,7887712.89079336,74264496.013638,73538660.8417441,0.131202188719692,1007891168.17459,392344568779.349,65650947.9509507,0.00174452869989329,26628840.4037464,18885705.6506877,92279788.354697,84536653.6016384,0.405612428074022,1007891168.17459,392344568779.349,65650947.9509507,0.00276440241073543,56700625.4759706,30415467.2182987,122351573.426921,96066415.1692494,0.863668039010387,1991
"15","1992",1240340289.17727,302489504463.829,52494748.845876,0.00153970032018259,7787971.60700414,7026142.74882414,60282720.4528802,59520891.5947002,0.1483571553008,1240340289.17727,302489504463.829,52494748.845876,0.00275100207032665,20242743.7234818,14693039.6232308,72737492.5693578,67187788.4691068,0.385614640864637,1240340289.17727,302489504463.829,52494748.845876,0.00394957931361216,38845066.5901702,22385033.0737696,91339815.4360462,74879781.9196456,0.739980044560625,1992
"16","1993",2726781589.634,605600196649.633,131106764.656382,0.0031473532199764,23080556.4019212,19229284.2747843,154187321.058303,150336048.931166,0.176043978069424,2726781589.634,605600196649.633,131106764.656382,0.0045223398362778,43140447.2634364,31833724.1285076,174247211.919818,162940488.78489,0.329048217889468,2726781589.634,605600196649.633,131106764.656382,0.00621214633567967,64857981.7439934,43680233.2569175,195964746.400375,174786997.9133,0.494695921404055,1993
"17","1994",1333163356.75797,365817011444.937,16736695.303759,0.00101902701361884,7014220.32687521,2796359.39295963,23750915.6306342,19533054.6967186,0.419092311807807,1333163356.75797,365817011444.937,16736695.303759,0.00193485667470187,22748764.2112955,5984778.10560756,39485459.5150544,22721473.4093665,1.35921481501705,1333163356.75797,365817011444.937,16736695.303759,0.00295445312681908,57052737.880601,9271579.7915793,73789433.18436,26008275.0953383,3.40884128229229,1994
"18","1995",1540926532.79784,427591138040.31,53848950.4412755,0.00161228435869847,11462607.8293738,8128587.51309639,65311558.2706493,61977537.9543719,0.212865946976519,1540926532.79784,427591138040.31,53848950.4412755,0.00267534149369431,29600735.6968357,15564778.0533865,83449686.1381112,69413728.494662,0.549699399046161,1540926532.79784,427591138040.31,53848950.4412755,0.00396525212178044,58223709.727005,23109245.5140944,112072660.168281,76958195.9553699,1.08124131018116,1995
"19","1996",2874603670.37268,638126264295.963,126977010.059895,0.00374005773391838,29630984.4026883,21491827.2899048,156607994.462583,148468837.3498,0.233357080850395,2874603670.37268,638126264295.963,126977010.059895,0.00532701033077814,46154075.4697829,32140054.4271841,173131085.529678,159117064.487079,0.363483716052316,2874603670.37268,638126264295.963,126977010.059895,0.00702516892239278,65820458.3985178,42854788.7404683,192797468.458413,169831798.800363,0.518365162067294,1996
"20","1997",2714573178.7951,648174449434.619,182344933.436654,0.00239722619588731,23660141.0218447,20665673.4988843,206005074.458499,203010606.935539,0.129754858420917,2714573178.7951,648174449434.619,182344933.436654,0.00366688741163358,45639966.3831681,38419462.5193651,227984899.819822,220764395.95602,0.25029467791066,2714573178.7951,648174449434.619,182344933.436654,0.00526632435199033,74945198.0639595,58609560.4077026,257290131.500614,240954493.844357,0.411007844591388,1997
