dateTime,Days741001,SmpTimeWindowDay,QCFS,SS_mgL,TP_mgL,SRP_mgL,NO23_mgL,TKN_mgL,Cl_mgL,Sulfate_mgL,Silica_mgL,Cond_umho,Future,Month
5/17/2018 12:00,,1.00,7.92,17.200,0.110,0.043,6.28,0.751,24.1,47.4,4.72,598,,5
5/18/2018 12:00,,1.00,5.40,14.900,0.097,0.042,5.02,0.637,25.0,53.1,2.54,618,,5
5/19/2018 12:00,,1.00,5.12,9.800,0.083,0.037,4.12,0.554,26.3,56.5,1.41,627,,5
5/20/2018 12:00,,0.67,19.20,21.700,0.103,0.038,3.69,0.540,27.1,57.1,1.28,631,,5
5/20/2018 20:00,,0.33,23.00,77.100,0.238,0.050,5.97,1.132,18.9,42.1,3.66,507,,5
5/21/2018 04:00,,0.28,15.70,66.200,0.198,0.043,7.66,1.043,17.3,39.0,5.55,506,,5
5/21/2018 09:29,,0.17,12.20,38.700,0.158,0.045,7.97,1.126,20.8,40.3,6.18,521,,5
5/21/2018 12:00,,0.55,11.10,50.906,0.155,0.023,7.67,1.223,20.0,37.5,6.17,529,,5
5/22/2018 12:00,,0.83,6.61,22.775,0.105,0.032,6.67,0.738,21.6,44.9,5.60,589,,5
5/23/2018 04:00,,0.50,93.40,295.660,0.473,0.032,6.72,1.055,18.8,42.2,4.68,534,,5
5/23/2018 12:00,,0.33,83.60,291.300,0.688,0.071,10.62,2.227,10.1,21.5,7.52,392,,5
5/25/2018 12:00,,1.00,9.47,53.069,0.139,0.036,7.78,1.001,20.9,42.4,7.46,576,,5
5/26/2018 12:00,,1.00,7.09,32.258,0.117,0.039,6.23,0.731,23.0,50.7,5.91,616,,5
5/27/2018 12:00,,0.83,18.20,38.076,0.135,0.041,5.05,0.854,23.4,51.8,4.97,629,,5
5/28/2018 04:00,,0.45,10.00,90.469,0.273,0.064,7.43,1.445,13.8,29.7,6.31,461,,5
5/28/2018 09:46,,0.17,7.92,79.809,0.244,0.059,8.13,1.301,14.7,30.4,6.95,482,,5
5/28/2018 12:00,,0.55,7.42,86.619,0.244,0.058,8.83,1.560,14.7,29.7,7.12,496,,5
5/29/2018 12:00,,1.00,5.12,35.122,0.161,0.063,6.68,0.982,18.7,39.7,6.94,573,,5
5/30/2018 12:00,,1.00,4.10,28.545,0.156,0.069,4.41,0.991,22.7,48.7,6.35,611,,5
5/31/2018 12:00,,1.00,4.10,21.333,0.145,0.078,3.15,1.054,24.2,50.9,5.9,621,,5
6/1/2018 12:00,,1.00,3.98,49.498,0.181,0.083,2.54,1.018,24.0,52.4,5.94,616,,6
6/2/2018 12:00,,0.67,25.20,48.117,0.185,0.075,4.83,1.230,21.8,45.3,6.69,608,,6
6/2/2018 20:00,,0.33,23.00,113.890,0.327,0.085,8.33,3.288,14.5,31.1,7.33,492,,6
6/3/2018 04:00,,0.33,14.60,62.091,0.240,0.076,13.35,5.972,13.4,28.0,8.61,531,,6
6/3/2018 12:00,,0.50,10.20,44.145,0.183,0.065,13.22,4.577,15.2,31.7,8.88,566,,6
6/4/2018 04:00,,0.53,6.61,25.887,0.137,0.056,10.14,4.723,18.0,38.0,8.17,598,,6
6/4/2018 13:32,,0.33,5.55,25.477,0.117,0.052,8.66,1.548,21.2,41.2,7.84,618,,6
6/4/2018 20:00,,0.63,4.85,22.587,0.123,0.043,2.87,0.855,9.8,9.5,1.93,605,,6
6/5/2018 20:00,,1.00,3.75,14.237,0.099,0.028,5.42,0.720,22.5,47.5,5.64,638,,6
6/6/2018 20:00,,1.00,3.24,14.397,0.094,0.034,3.99,0.597,24.8,49.9,4.38,637,,6
6/7/2018 20:00,,1.00,2.58,10.101,0.088,0.021,3.04,0.565,24.6,52.3,3.22,638,,6
6/8/2018 20:00,,0.67,10.50,46.511,0.159,0.040,3.49,0.772,24.8,48.2,3.09,595,,6
6/9/2018 04:00,,0.33,9.82,63.265,0.236,0.052,10.61,4.377,18.5,34.3,5.76,542,,6
6/9/2018 12:00,,0.33,7.25,41.176,0.149,0.046,10.51,2.787,18.9,36.9,6.63,584,,6
6/9/2018 20:00,,0.33,9.65,85.778,0.212,0.028,9.35,1.867,17.0,33.6,6.92,556,,6
6/10/2018 04:00,,0.33,27.30,58.939,0.223,0.046,14.25,1.957,20.7,32.2,7.91,580,,6
6/10/2018 12:00,,0.33,93.90,163.040,0.368,0.037,15.55,2.565,13.1,28.7,7.42,511,,6
6/10/2018 20:00,,0.33,82.20,89.552,0.320,0.073,16.16,2.109,10.6,24.3,8.71,480,,6
6/11/2018 04:00,,0.33,69.50,44.230,0.225,0.066,15.13,1.712,14.3,26.7,9.39,502,,6
6/11/2018 12:00,,0.18,137.00,71.969,0.207,0.051,17.62,2.183,14.6,30.1,10.42,547,,6
6/11/2018 12:51,,0.17,157.00,47.961,0.203,0.053,17.84,1.660,14.5,30.2,10.01,542,,6
6/11/2018 20:00,,0.32,271.00,101.210,0.316,0.074,23.35,4.078,9.9,19.9,10.11,501,,6
